,fname,label,aso_id,manually_verified,noisy_small
0,268418.wav,Engine,/m/02mk9,0,1
1,341426.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
2,89820.wav,Glass,/m/039jq,0,0
3,99198.wav,Fireworks,/m/0g6b5,0,0
4,207360.wav,Glass,/m/039jq,0,0
5,137505.wav,Hi-hat,/m/03qtq,0,1
6,263917.wav,Walk_or_footsteps,/m/07pbtc8,0,0
7,269907.wav,Crash_cymbal,/m/0bm0k,1,0
8,132920.wav,Glass,/m/039jq,0,0
9,71810.wav,Dishes_and_pots_and_pans,/m/04brg2,1,0
10,8908.wav,Piano,/m/05r5c,0,0
11,237756.wav,Fireworks,/m/0g6b5,0,0
12,396358.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
13,180761.wav,Clapping,/m/0l15bq,1,0
14,10392.wav,Tearing,/m/07qcx4z,0,1
15,344922.wav,Bass_guitar,/m/018vs,0,0
16,65522.wav,Fire,/m/02_41,0,0
17,162252.wav,Wind,/m/03m9d0z,0,1
18,362936.wav,Glass,/m/039jq,0,0
19,110926.wav,Fart,/m/02_nn,0,0
20,363685.wav,Piano,/m/05r5c,0,0
21,148949.wav,Squeak,/m/07q6cd_,0,0
22,104101.wav,Slam,/m/07rjzl8,0,0
23,327769.wav,Rain,/m/06mb1,0,0
24,195670.wav,Clapping,/m/0l15bq,0,0
25,429057.wav,Wind,/m/03m9d0z,0,0
26,164500.wav,Walk_or_footsteps,/m/07pbtc8,0,0
27,124372.wav,Fire,/m/02_41,1,0
28,205533.wav,Tearing,/m/07qcx4z,0,1
29,70721.wav,Piano,/m/05r5c,0,0
30,97513.wav,Dishes_and_pots_and_pans,/m/04brg2,1,0
31,60966.wav,Fart,/m/02_nn,0,0
32,174460.wav,Wind,/m/03m9d0z,0,0
33,82516.wav,Wind,/m/03m9d0z,0,0
34,382591.wav,Wind,/m/03m9d0z,0,0
35,201434.wav,Bass_guitar,/m/018vs,0,0
36,183879.wav,Bass_guitar,/m/018vs,0,0
37,382534.wav,Piano,/m/05r5c,1,0
38,137570.wav,Hi-hat,/m/03qtq,1,0
39,245038.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
40,34993.wav,Dishes_and_pots_and_pans,/m/04brg2,0,0
41,316004.wav,Piano,/m/05r5c,0,0
42,180688.wav,Coin_(dropping),/m/0242l,0,0
43,330117.wav,Crash_cymbal,/m/0bm0k,0,1
44,174510.wav,Walk_or_footsteps,/m/07pbtc8,0,0
45,392984.wav,Piano,/m/05r5c,0,0
46,127332.wav,Acoustic_guitar,/m/042v_gx,0,0
47,6480.wav,Bass_guitar,/m/018vs,0,0
48,63483.wav,Fart,/m/02_nn,0,0
49,350039.wav,Piano,/m/05r5c,0,0
50,201990.wav,Slam,/m/07rjzl8,0,0
51,182904.wav,Wind,/m/03m9d0z,1,0
52,186477.wav,Slam,/m/07rjzl8,0,0
53,237404.wav,Slam,/m/07rjzl8,0,0
54,154645.wav,Glass,/m/039jq,0,0
55,252401.wav,Piano,/m/05r5c,0,0
56,157907.wav,Slam,/m/07rjzl8,0,0
57,148436.wav,Piano,/m/05r5c,0,0
58,244428.wav,Glass,/m/039jq,0,0
59,382349.wav,Piano,/m/05r5c,0,0
60,257494.wav,Coin_(dropping),/m/0242l,0,0
61,410929.wav,Wind,/m/03m9d0z,0,0
62,257797.wav,Fart,/m/02_nn,0,0
63,163283.wav,Rain,/m/06mb1,0,0
64,418150.wav,Glass,/m/039jq,0,0
65,137420.wav,Hi-hat,/m/03qtq,1,0
